date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-03-10,1613489389.71,304706,19275300000,1189.36,563796000,1937.5,253.38265494
2017-03-11,1459874704.05,282486,18093700000,1116.32,283320000,1787.5,223.40830928
2017-03-12,1012234656.64,219283,19073300000,1176.62,227176000,2000,189.44466059
2017-03-13,1688892509.3,263545,19807700000,1221.78,380277000,1762.5,211.56419165
2017-03-14,2194740006.61,332859,19978200000,1232.16,245306000,2025,270.2659726
2017-03-15,1818003548.62,290428,20110400000,1240.16,297805000,1800,234.82121533
2017-03-16,2764060617.72,303013,20293700000,1251.33,638568000,1787.5,250.86517525
2017-03-17,2488382703.27,300424,19141800000,1180.16,706599000,1975,247.79645862
2017-03-18,1769053430.48,278779,17838700000,1099.69,621302000,2025,223.94924795
2017-03-19,1305168302.25,260974,15846000000,976.73,406648000,1962.5,214.77797246
2017-03-20,1451434330.62,260448,16829800000,1037.24,286530000,1712.5,226.40284324
2017-03-21,1802314479.11,297088,17125600000,1055.36,337391000,1812.5,252.8185197
2017-03-22,2138467540.26,317589,18187100000,1120.65,380841000,1962.5,267.69751807
2017-03-23,1777651873.47,276232,17043400000,1050.05,248540000,1737.5,228.76344812
2017-03-24,1733417384.43,305133,16857000000,1038.45,491038000,2237.5,245.06808814
2017-03-25,4044006010.42,253296,15204800000,936.54,435803000,1800,192.63251292
2017-03-26,1116135580.1,221510,15814800000,974.01,303668000,1925,153.03647095
2017-03-27,1426689038.59,210842,15785000000,972.05,372535000,1712.5,172.85031121
2017-03-28,1782501122.64,311612,16964500000,1044.58,326332000,2025,248.11207069
2017-03-29,1437433097.55,272352,16990900000,1046.08,298458000,1687.5,209.30019913
2017-03-30,1515705323.5,294132,16929800000,1042.21,352969000,2050,210.6123248
2017-03-31,1928720085.23,261567,16679000000,1026.64,447287000,1700,208.22901924
2017-04-01,1414107439.25,272344,17413000000,1071.71,289634000,1750,205.46246558
2017-04-02,1160384286.17,226678,17559400000,1080.61,514187000,1875,172.94420548
2017-04-03,1727495387.92,281436,17924600000,1102.95,580444000,2150,214.69998817
2017-04-04,1742279578.87,249981,18619000000,1145.52,436310000,1575,197.05996416
2017-04-05,1704396748.28,314865,18435700000,1134.14,414784000,1975,235.98100887
2017-04-06,1643551068.72,300356,18302600000,1125.81,511222000,1925,230.21934127
2017-04-07,1612333912.3,291966,19168500000,1178.94,317022000,1862.5,217.6480458
2017-04-08,1092798764.43,246642,19068600000,1172.65,209312000,1912.5,189.30968727
2017-04-09,1050868391.47,230428,19134400000,1176.57,242343000,1862.5,163.16550849
2017-04-10,1518896332.07,260713,19311200000,1187.3,215883000,1837.5,185.01614407
2017-04-11,1678801796.88,308799,19316000000,1187.46,216182000,2137.5,229.75815485
2017-04-12,1765108823.42,276482,19600800000,1204.81,288702000,1775,213.38119921
2017-04-13,1804028126.87,255899,19541300000,1201.02,351969000,1675,210.48219917
2017-04-14,1829553101.39,261457,19043800000,1170.33,254827000,1637.5,237.50305278
2017-04-15,1325296378.47,274918,18996500000,1167.3,203559000,1850,206.12898249
2017-04-16,1217876226.21,222059,19085100000,1172.61,183231000,1800,165.47729702
2017-04-17,1598269709.63,236039,19260500000,1183.25,253206000,1812.5,174.69457314
2017-04-18,1992369649.81,287650,19433800000,1193.77,270524000,1750,210.6738028
2017-04-19,1678637624,314801,19734800000,1212.13,288061000,1787.5,216.07881983
2017-04-20,1801458505.42,278029,19719900000,1211.08,315108000,1837.5,231.20902765
2017-04-21,1763130566.55,317732,20020700000,1229.42,272167000,1950,239.31160133
2017-04-22,1276324269.19,290463,19913900000,1222.71,249320000,1937.5,191.46981629
2017-04-23,1246133126.98,237348,20066200000,1231.92,258951000,1762.5,166.1098465
2017-04-24,1661841354.54,242726,19705400000,1209.63,235806000,1762.5,183.44489813
2017-04-25,2795616680.83,284621,20372300000,1250.45,242556000,1687.5,255.15614803
2017-04-26,2322818133.47,337419,20627900000,1265.99,329631000,1925,262.02001203
2017-04-27,2293636199.15,289789,20889200000,1281.88,449197000,1762.5,243.50794959
2017-04-28,2318098622.46,292537,21476000000,1317.74,527489000,1662.5,245.78127619
2017-04-29,1841187051.03,367537,21479800000,1317.84,422706000,2225,277.06378859
2017-04-30,1393539218.02,283098,21548400000,1321.87,413115000,1937.5,199.92537039
2017-05-01,1788349209.57,273662,21981800000,1348.3,713624000,1800,210.5254173
2017-05-02,2337266913.61,348999,23170200000,1421.03,477338000,2050,281.15931559
2017-05-03,2116747300.87,303911,23707100000,1453.78,583796000,1725,248.34444747
2017-05-04,3026220362.5,344956,24311900000,1490.72,933549000,2012.5,301.17747535
2017-05-05,2959426416.32,269257,25133100000,1540.87,946036000,1637.5,257.20493581
2017-05-06,2588826935.68,375201,25395600000,1556.81,582530000,2175,311.93047185
2017-05-07,2163447877.78,303581,25768500000,1579.47,1080030000,2012.5,265.18103678
2017-05-08,3156345988.96,366473,26056500000,1596.92,1340320000,2237.5,317.49876625
2017-05-09,3280981522.93,342976,28132200000,1723.89,1167920000,2012.5,309.30737053
2017-05-10,3697123755.98,291083,28668100000,1756.52,915723000,1712.5,289.30333441
2017-05-11,3043875168.84,323139,29060600000,1780.37,799490000,1875,295.4107304
2017-05-12,3237140428.04,313713,30131100000,1845.76,740984000,1887.5,322.71226753
2017-05-13,2315615495.73,325881,28132300000,1723.12,579635000,1950,298.99352795
2017-05-14,2139996425.66,372961,29405100000,1800.86,437196000,2087.5,300.05023437
2017-05-15,3078581756.7,315765,29532600000,1808.44,731529000,2037.5,308.78479803
2017-05-16,2978691945.4,259127,28446300000,1741.7,959045000,1687.5,315.76361752
2017-05-17,4164364506.87,305519,28204800000,1726.73,1064730000,1987.5,510.29128009
2017-05-18,3313761050.05,289454,29710500000,1818.7,894321000,1787.5,399.08884517
2017-05-19,3257449105.07,302384,30999000000,1897.37,1157290000,1937.5,425.78328117
2017-05-20,3327056460.68,346598,32422400000,1984.24,961336000,2037.5,390.75700196
2017-05-21,2622270084.07,337219,33779400000,2067.03,1147860000,1937.5,369.13038215
2017-05-22,3820150765.45,322702,33393600000,2043.19,1942220000,1787.5,389.78648473
2017-05-23,4352393155.62,359621,35822600000,2191.56,1378750000,2050,460.64002618
2017-05-24,4940192994.87,352401,37949200000,2321.37,1725380000,1975,477.8048293
2017-05-25,6184473038.26,346957,39995400000,2446.24,2406700000,2012.5,490.20288872
2017-05-26,4840999758.65,332818,37950600000,2320.89,1763480000,1900,464.56236734
2017-05-27,3547073507.31,320651,35917100000,2196.27,1700480000,2012.5,520.6563647
2017-05-28,3009205302.47,323382,33595900000,2054.08,1147140000,2125,448.48927991
2017-05-29,3889516961.56,311570,35323500000,2159.43,994625000,1950,480.24853667
2017-05-30,4797425274.62,349637,36897000000,2255.36,1443970000,2162.5,569.89341057
2017-05-31,5202877436.19,335271,35786700000,2187.19,1544830000,2162.5,594.80786416
2017-06-01,6272635492.36,312559,37446200000,2288.33,1653180000,2062.5,561.65061334
2017-06-02,5632317192.17,300256,39344600000,2404.03,1317030000,1987.5,499.21822643
2017-06-03,5788756496.68,297480,40817100000,2493.72,1514950000,2262.5,503.98782366
2017-06-04,4650522694.19,254857,41708200000,2547.79,1355120000,2025,471.06840419
2017-06-05,5678874034.84,274263,41133900000,2512.4,1369310000,1987.5,438.67881742
2017-06-06,5671891433.2,314072,44061000000,2690.84,2089610000,2012.5,535.27085536
2017-06-07,5823966749.36,332491,46989800000,2869.38,1517710000,2000,656.36252756
2017-06-08,5292679344.77,300045,44557100000,2720.49,1281170000,2025,492.0073024
2017-06-09,5808274449.35,272640,45987100000,2807.44,1348950000,1825,462.43928889
2017-06-10,5217604380.44,273512,46331400000,2828.14,2018890000,1887.5,414.54392619
2017-06-11,4829169462.69,223428,48208700000,2942.41,1752400000,1725,360.15190412
2017-06-12,6215113783.16,270277,48391200000,2953.22,2569530000,1950,395.87976308
2017-06-13,6617881604.59,283736,43934100000,2680.91,1781200000,1725,462.91802796
2017-06-14,6691408087.35,280982,44528300000,2716.88,1696560000,1700,454.05424556
2017-06-15,5797059182.68,304510,40971300000,2499.58,2026260000,1975,459.35594106
2017-06-16,6330191989.3,279382,40484100000,2469.57,1195190000,1912.5,382.816318
2017-06-17,4194911330.29,237550,41217200000,2514.01,1534510000,1775,327.1704737
2017-06-18,3853604862.37,207193,43539300000,2655.35,1178660000,1675,273.12864166
2017-06-19,5582398539.55,255352,41800600000,2549.03,1446840000,1937.5,365.30671874
2017-06-20,5864817758.22,274134,42498000000,2591.26,1854190000,1812.5,381.84425148
2017-06-21,6487450626.63,273195,44440800000,2709.43,1626580000,1662.5,447.70176667
2017-06-22,5837821821.02,267521,44143700000,2691.03,1097940000,1712.5,458.22182223
2017-06-23,5146855012.83,280541,44415900000,2707.34,961319000,2087.5,370.50029244
2017-06-24,4346203295.91,224825,44932900000,2738.52,982750000,1725,308.54811621
2017-06-25,3797038757.36,186306,42783800000,2607.25,1161100000,1687.5,255.80194534
2017-06-26,5895901779.35,242763,42514000000,2590.57,1663280000,1687.5,347.25861729
2017-06-27,5211727025.32,256108,40677900000,2478.45,1489790000,1650,370.2758158
2017-06-28,5449092306.91,279558,41906700000,2553.03,1183870000,1875,393.90241402
2017-06-29,6705903889.03,240101,42150300000,2567.56,949979000,1625,341.7659398
2017-06-30,4861925790.48,259819,41689100000,2539.24,860273000,1750,365.37928772
2017-07-01,3583038400.52,235021,40928200000,2492.6,779914000,2112.5,265.16702352
2017-07-02,2983493384.91,199491,40010500000,2436.4,803747000,2337.5,209.75608535
2017-07-03,4635840290.4,242526,41037200000,2498.56,964112000,2137.5,263.76635238
2017-07-04,4221970598.72,255185,42067900000,2561,985516000,1887.5,294.1990455
2017-07-05,4509176491.29,232364,42760800000,2602.87,941566000,1887.5,241.26512007
2017-07-06,4966029225.25,242123,42851400000,2608.1,761957000,1950,240.20969838
2017-07-07,4670931845.62,243335,42864200000,2608.59,917412000,1750,246.83178369
2017-07-08,3226246422.43,217922,41417700000,2520.27,733330000,1962.5,196.81903302
2017-07-09,3564500094.28,187041,42283200000,2572.61,527856000,1850,157.96372217
2017-07-10,4933027000.63,236668,41509000000,2525.25,1111200000,2362.5,195.65387785
2017-07-11,5026676822.12,280295,39224200000,2385.89,1329760000,2287.5,219.68628675
2017-07-12,3772479059.58,241995,38355900000,2332.77,1117410000,2087.5,204.20329691
2017-07-13,4198266048.26,247355,39511000000,2402.7,835770000,2012.5,211.84444229
2017-07-14,4317220518.59,238562,38823100000,2360.59,882503000,1812.5,223.99118592
2017-07-15,3460613130.69,231942,36681300000,2230.12,993608000,1562.5,389.65153103
2017-07-16,2734630627.54,200785,32767600000,1991.98,1182870000,1962.5,165.78005565
2017-07-17,3757790668.7,219898,31795000000,1932.62,1201760000,1925,190.6879168
2017-07-18,4256487316.81,249043,36749400000,2233.52,1512450000,1950,209.96929806
2017-07-19,4434465111.93,263787,38227800000,2323.08,1245100000,1937.5,215.01799073
2017-07-20,4238795389.98,238774,37356800000,2269.89,2249260000,2112.5,227.15089001
2017-07-21,5517509252.43,304511,46719000000,2838.41,1489450000,2149.99999998,288.42181292
2017-07-22,3593020682.68,223198,43929600000,2668.63,1177130000,1999.99999998,171.03691994
2017-07-23,3305952385.92,180859,46231100000,2808.1,1072840000,2149.99999998,125.37693824
2017-07-24,4967853057.88,239894,44995600000,2732.7,866474000,2224.99999999,166.96352985
2017-07-25,18620423057.5,243888,45410100000,2757.5,1460090000,1849.99999988,168.49293304
2017-07-26,8180309757.55,237706,42455000000,2577.77,937404000,1837.49999999,167.53481997
2017-07-27,4551584454.16,225215,41816500000,2538.71,789104000,1924.99999997,166.27056961
2017-07-28,9231545951.13,247057,44144400000,2679.73,1380100000,1874.99996999,188.43135328
2017-07-29,10160734332.7,210977,46246700000,2807.02,803746000,1962.49999987,156.46665336
2017-07-30,22268691501.5,183998,44890700000,2724.39,705943000,1837.49999989,138.11682218
2017-07-31,6594613177.05,230867,45535800000,2763.24,860575000,1812.5,194.86886623
2017-08-01,6689047244.92,131726,47321800000,2871.3,1324670000,1862.49999998,75.94662049
2017-08-02,5926737884.97,209169,44950800000,2727.13,1094950000,1899.99999999,130.51485682
2017-08-03,3729394908.48,212879,44666400000,2709.56,804797000,1724.99998998,124.10596423
2017-08-04,4056042202.12,235613,46276200000,2806.93,1002120000,2237.49999998,113.47123623
2017-08-05,4075922194.59,239594,47778200000,2897.63,1945700000,2212.49999999,113.56678696
2017-08-06,3690410805.42,199487,53720900000,3257.61,1105030000,1749.99999999,87.90639939
2017-08-07,5020630427.09,248849,52987300000,3212.78,1482280000,1912.49999999,121.82649184
2017-08-08,7057922000.33,275410,55590300000,3370.22,1752760000,2049.99999999,159.06311047
2017-08-09,6123180313.55,260817,56424900000,3420.4,1468960000,1724.99999997,157.95191311
