date,price(USD)
2017-01-01,4.33
2017-01-02,4.52
2017-01-03,4.66
2017-01-04,4.63
2017-01-05,4.91
2017-01-06,4.3
2017-01-07,3.86
2017-01-08,3.96
2017-01-09,4
2017-01-10,4.3
2017-01-11,4.6
2017-01-12,3.84
2017-01-13,3.95
2017-01-14,3.89
2017-01-15,3.89
2017-01-16,3.92
2017-01-17,3.91
2017-01-18,3.94
2017-01-19,3.84
2017-01-20,3.86
2017-01-21,3.89
2017-01-22,3.9
2017-01-23,3.86
2017-01-24,3.84
2017-01-25,3.79
2017-01-26,3.71
2017-01-27,3.84
2017-01-28,3.85
2017-01-29,3.85
2017-01-30,3.86
2017-01-31,4.02
2017-02-01,4.08
2017-02-02,4.08
2017-02-03,4.08
2017-02-04,4.08
2017-02-05,4.07
2017-02-06,4.06
2017-02-07,4.05
2017-02-08,4.05
2017-02-09,4.03
2017-02-10,3.8
2017-02-11,3.78
2017-02-12,3.8
2017-02-13,3.77
2017-02-14,3.72
2017-02-15,3.77
2017-02-16,3.8
2017-02-17,3.78
2017-02-18,3.83
2017-02-19,3.79
2017-02-20,3.77
2017-02-21,3.76
2017-02-22,3.79
2017-02-23,3.8
2017-02-24,3.83
2017-02-25,3.85
2017-02-26,3.82
2017-02-27,3.81
2017-02-28,3.8
2017-03-01,3.77
2017-03-02,3.8
2017-03-03,3.92
2017-03-04,3.91
2017-03-05,3.86
2017-03-06,3.87
2017-03-07,3.89
2017-03-08,3.81
2017-03-09,3.77
2017-03-10,3.83
2017-03-11,3.76
2017-03-12,3.79
2017-03-13,3.85
2017-03-14,4.17
2017-03-15,4.05
2017-03-16,4.15
2017-03-17,4.23
2017-03-18,4.04
2017-03-19,3.96
2017-03-20,3.95
2017-03-21,4.04
2017-03-22,3.99
2017-03-23,3.93
2017-03-24,3.97
2017-03-25,4.07
2017-03-26,4.07
2017-03-27,4.07
2017-03-28,4.07
2017-03-29,4.14
2017-03-30,4.18
2017-03-31,7.02
2017-04-01,6.65
2017-04-02,6.86
2017-04-03,7.74
2017-04-04,8.12
2017-04-05,8.25
2017-04-06,11.12
2017-04-07,10.22
2017-04-08,9.34
2017-04-09,9.89
2017-04-10,8.72
2017-04-11,8.91
2017-04-12,8.83
2017-04-13,10.76
2017-04-14,10.13
2017-04-15,10.34
2017-04-16,10.75
2017-04-17,10.6
2017-04-18,10.42
2017-04-19,10.31
2017-04-20,9.63
2017-04-21,10.29
2017-04-22,11.18
2017-04-23,13.07
2017-04-24,13.96
2017-04-25,14.98
2017-04-26,15.21
2017-04-27,14.84
2017-04-28,14.59
2017-04-29,14.4
2017-04-30,15.7
2017-05-01,15.71
2017-05-02,15.92
2017-05-03,15.88
2017-05-04,21.04
2017-05-05,23.47
2017-05-06,26.47
2017-05-07,28.2
2017-05-08,30.37
2017-05-09,28.96
2017-05-10,33.3
2017-05-11,32.66
2017-05-12,30.93
2017-05-13,27.22
2017-05-14,29.09
2017-05-15,28.89
2017-05-16,25.34
2017-05-17,23.24
2017-05-18,25.17
2017-05-19,28.29
2017-05-20,27.68
2017-05-21,27.48
2017-05-22,26.14
2017-05-23,25.3
2017-05-24,32.12
2017-05-25,34.47
2017-05-26,30.33
2017-05-27,23.4
2017-05-28,24.01
2017-05-29,24.32
2017-05-30,25.32
2017-05-31,24.29
2017-06-01,25.34
2017-06-02,28.9
2017-06-03,29.04
2017-06-04,27.65
2017-06-05,28.09
2017-06-06,30.84
2017-06-07,30.57
2017-06-08,28.38
2017-06-09,30.19
2017-06-10,29.68
2017-06-11,30.5
2017-06-12,33.23
2017-06-13,29.49
2017-06-14,30.74
2017-06-15,30.22
2017-06-16,30.28
2017-06-17,36.18
2017-06-18,47.44
2017-06-19,46.16
2017-06-20,50.41
2017-06-21,47.3
2017-06-22,47.72
2017-06-23,47.75
2017-06-24,47.25
2017-06-25,44.49
2017-06-26,44.04
2017-06-27,41.13
2017-06-28,40.82
2017-06-29,42.83
2017-06-30,41.04
2017-07-01,40.4
2017-07-02,38.95
2017-07-03,41.48
2017-07-04,46.56
2017-07-05,55.27
2017-07-06,53.2
2017-07-07,51.1
2017-07-08,46.64
2017-07-09,52.36
2017-07-10,49.91
2017-07-11,46.27
2017-07-12,45.26
2017-07-13,48.72
2017-07-14,46.36
2017-07-15,42.81
2017-07-16,38.92
2017-07-17,41.19
2017-07-18,42.62
2017-07-19,44.35
2017-07-20,40.96
2017-07-21,45.07
2017-07-22,45.77
2017-07-23,46.63
2017-07-24,44.16
2017-07-25,44.48
2017-07-26,42.29
2017-07-27,42.35
2017-07-28,42.22
2017-07-29,40.56
2017-07-30,41.18
2017-07-31,40.34
2017-08-01,43.02
2017-08-02,43.07
2017-08-03,42.19
2017-08-04,42.89
2017-08-05,43.49
2017-08-06,46.84
2017-08-07,45.17
2017-08-08,45.9
2017-08-09,48.59
2017-08-10,48.05
2017-08-11,46.4
2017-08-12,47.05
2017-08-13,46.57
2017-08-14,45.83
2017-08-15,45.81
2017-08-16,43.37
2017-08-17,44.18
2017-08-18,43.9
2017-08-19,47.05
2017-08-20,45.38
2017-08-21,46.19
2017-08-22,47.9
2017-08-23,46.71
2017-08-24,52.82
2017-08-25,50.17
2017-08-26,51.17
2017-08-27,51.8
2017-08-28,61.36
2017-08-29,62.39
2017-08-30,63.16
2017-08-31,64.16
2017-09-01,70.86
2017-09-02,85.83
2017-09-03,78.98
2017-09-04,76.73
2017-09-05,65.25
2017-09-06,71.78
2017-09-07,79.88
2017-09-08,78.45
2017-09-09,67.21
2017-09-10,65.8
2017-09-11,61.65
2017-09-12,66.24
2017-09-13,64.32
2017-09-14,61.64
2017-09-15,41.69
2017-09-16,48.13
2017-09-17,48.23
2017-09-18,48.53
2017-09-19,55.68
2017-09-20,52.74
2017-09-21,51.66
2017-09-22,46.65
2017-09-23,48.16
2017-09-24,49.25
2017-09-25,47.62
2017-09-26,51.69
2017-09-27,51.58
2017-09-28,56.21
2017-09-29,54.11
2017-09-30,52.63
2017-10-01,55.14
2017-10-02,54.55
2017-10-03,53.39
2017-10-04,52.28
2017-10-05,51.4
2017-10-06,51.64
2017-10-07,52.14
2017-10-08,52.49
2017-10-09,53.08
2017-10-10,50.15
2017-10-11,50.75
2017-10-12,50.89
2017-10-13,60.55
2017-10-14,59.41
2017-10-15,64.13
2017-10-16,65.72
2017-10-17,64.67
2017-10-18,59.59
2017-10-19,60.82
2017-10-20,59.81
2017-10-21,60.3
2017-10-22,58.27
2017-10-23,56.77
2017-10-24,54.96
2017-10-25,55.95
2017-10-26,56.47
2017-10-27,55.67
2017-10-28,55.38
2017-10-29,54.67
2017-10-30,56.84
2017-10-31,56.37
2017-11-01,55.74
2017-11-02,53.56
2017-11-03,54.58
2017-11-04,56.22
2017-11-05,55.03
2017-11-06,54.76
2017-11-07,54.99
2017-11-08,61.11
2017-11-09,62.49
2017-11-10,64.44
2017-11-11,59.35
2017-11-12,62.31
2017-11-13,59.18
2017-11-14,61.64
2017-11-15,62.78
2017-11-16,63.81
2017-11-17,70.45
2017-11-18,67.41
2017-11-19,69.51
2017-11-20,71.41
2017-11-21,72.2
2017-11-22,70.18
2017-11-23,71.98
2017-11-24,73.14
2017-11-25,77.91
2017-11-26,88.94
2017-11-27,85.89
2017-11-28,91.72
2017-11-29,96.01
2017-11-30,86.25
2017-12-01,88
2017-12-02,98.94
2017-12-03,100.19
2017-12-04,101.4
2017-12-05,104.28
2017-12-06,102.48
2017-12-07,99.98
2017-12-08,98.33
2017-12-09,127.48
2017-12-10,155.63
2017-12-11,148.26
2017-12-12,212.46
2017-12-13,315.36
2017-12-14,301.2
2017-12-15,280.97
2017-12-16,299.34
2017-12-17,301.78
2017-12-18,318.95
2017-12-19,359.13
2017-12-20,349.6
2017-12-21,314.66
2017-12-22,319.26
2017-12-23,269.27
2017-12-24,291.01
2017-12-25,277.49
2017-12-26,273.11
2017-12-27,286.59
2017-12-28,272.13
2017-12-29,250.35
2017-12-30,245.09
2017-12-31,216.97
