date,price(USD)
2017-01-01,7.98
2017-01-02,8.17
2017-01-03,8.37
2017-01-04,9.71
2017-01-05,11.29
2017-01-06,10.29
2017-01-07,10.24
2017-01-08,9.87
2017-01-09,10.31
2017-01-10,10.37
2017-01-11,10.54
2017-01-12,9.72
2017-01-13,9.83
2017-01-14,9.79
2017-01-15,9.83
2017-01-16,9.88
2017-01-17,9.64
2017-01-18,10.3
2017-01-19,10.24
2017-01-20,10.39
2017-01-21,10.6
2017-01-22,10.91
2017-01-23,10.71
2017-01-24,10.73
2017-01-25,10.62
2017-01-26,10.57
2017-01-27,10.58
2017-01-28,10.54
2017-01-29,10.56
2017-01-30,10.49
2017-01-31,10.56
2017-02-01,10.74
2017-02-02,10.74
2017-02-03,10.81
2017-02-04,11.13
2017-02-05,11.44
2017-02-06,11.35
2017-02-07,11.43
2017-02-08,11.54
2017-02-09,11.44
2017-02-10,11.04
2017-02-11,11.29
2017-02-12,11.35
2017-02-13,11.38
2017-02-14,11.29
2017-02-15,13.04
2017-02-16,12.92
2017-02-17,12.9
2017-02-18,12.71
2017-02-19,12.82
2017-02-20,12.77
2017-02-21,12.34
2017-02-22,12.69
2017-02-23,12.6
2017-02-24,13.13
2017-02-25,13.06
2017-02-26,13.52
2017-02-27,14.51
2017-02-28,15.45
2017-03-01,15.85
2017-03-02,17.36
2017-03-03,19.04
2017-03-04,19.52
2017-03-05,18.5
2017-03-06,19.28
2017-03-07,19.58
2017-03-08,18.88
2017-03-09,16.64
2017-03-10,17.74
2017-03-11,19.37
2017-03-12,21.46
2017-03-13,23.5
2017-03-14,28.57
2017-03-15,28.65
2017-03-16,35.36
2017-03-17,45.93
2017-03-18,46.87
2017-03-19,35.53
2017-03-20,44.83
2017-03-21,43.51
2017-03-22,43.12
2017-03-23,42.57
2017-03-24,43.64
2017-03-25,53.58
2017-03-26,50.77
2017-03-27,51.31
2017-03-28,49.71
2017-03-29,50.57
2017-03-30,53.12
2017-03-31,51.75
2017-04-01,50.03
2017-04-02,50.74
2017-04-03,48.82
2017-04-04,43.92
2017-04-05,44.66
2017-04-06,45.22
2017-04-07,42.87
2017-04-08,41.8
2017-04-09,44.28
2017-04-10,43.28
2017-04-11,43.5
2017-04-12,43.46
2017-04-13,46.31
2017-04-14,49.97
2017-04-15,47.65
2017-04-16,49.04
2017-04-17,48.66
2017-04-18,48.32
2017-04-19,50.73
2017-04-20,48.13
2017-04-21,49.64
2017-04-22,48.18
2017-04-23,48.59
2017-04-24,48.87
2017-04-25,50.07
2017-04-26,49.91
2017-04-27,52.81
2017-04-28,62.23
2017-04-29,71.39
2017-04-30,68.54
2017-05-01,79.32
2017-05-02,76.65
2017-05-03,77.25
2017-05-04,79.72
2017-05-05,96.73
2017-05-06,94.91
2017-05-07,97.87
2017-05-08,93.75
2017-05-09,91.23
2017-05-10,91.15
2017-05-11,89.77
2017-05-12,89.43
2017-05-13,88.69
2017-05-14,90.87
2017-05-15,90.78
2017-05-16,92.39
2017-05-17,89.25
2017-05-18,89.84
2017-05-19,97.05
2017-05-20,129.22
2017-05-21,127.54
2017-05-22,158.17
2017-05-23,170.82
2017-05-24,182.65
2017-05-25,189.85
2017-05-26,175.22
2017-05-27,159.82
2017-05-28,158.82
2017-05-29,170.13
2017-05-30,195.61
2017-05-31,231.58
2017-06-01,230.89
2017-06-02,222.29
2017-06-03,223.46
2017-06-04,224.12
2017-06-05,245.26
2017-06-06,248.6
2017-06-07,264.26
2017-06-08,257.99
2017-06-09,261.75
2017-06-10,282.01
2017-06-11,338.79
2017-06-12,341.16
2017-06-13,395.69
2017-06-14,397.59
2017-06-15,358.51
2017-06-16,361.18
2017-06-17,369.88
2017-06-18,379.52
2017-06-19,371.86
2017-06-20,370.33
2017-06-21,359.54
2017-06-22,337.73
2017-06-23,336.49
2017-06-24,341.63
2017-06-25,323.47
2017-06-26,302.95
2017-06-27,272.69
2017-06-28,293.04
2017-06-29,328.37
2017-06-30,303.15
2017-07-01,293.35
2017-07-02,275.12
2017-07-03,288.41
2017-07-04,282.19
2017-07-05,273.1
2017-07-06,268.86
2017-07-07,270.35
2017-07-08,245.89
2017-07-09,251.82
2017-07-10,243.01
2017-07-11,211.53
2017-07-12,197.15
2017-07-13,231.81
2017-07-14,209.53
2017-07-15,199.71
2017-07-16,169.57
2017-07-17,159.99
2017-07-18,195.03
2017-07-19,234.94
2017-07-20,205.42
2017-07-21,226.06
2017-07-22,217.86
2017-07-23,229.12
2017-07-24,226.28
2017-07-25,224.37
2017-07-26,207.09
2017-07-27,204.86
2017-07-28,204.32
2017-07-29,193.34
2017-07-30,206.74
2017-07-31,197.41
2017-08-01,204.69
2017-08-02,227.01
2017-08-03,220.18
2017-08-04,225.31
2017-08-05,222.85
2017-08-06,256.42
2017-08-07,261.24
2017-08-08,269.1
2017-08-09,297.63
2017-08-10,296.96
2017-08-11,294.5
2017-08-12,308.71
2017-08-13,310.37
2017-08-14,298.03
2017-08-15,299.95
2017-08-16,289.82
2017-08-17,302.81
2017-08-18,301.7
2017-08-19,296.18
2017-08-20,296.64
2017-08-21,300.48
2017-08-22,321.06
2017-08-23,315.27
2017-08-24,317.45
2017-08-25,326.11
2017-08-26,331.99
2017-08-27,334.36
2017-08-28,350.04
2017-08-29,347.96
2017-08-30,369.47
2017-08-31,378.44
2017-09-01,383.47
2017-09-02,387.82
2017-09-03,350.23
2017-09-04,347.13
2017-09-05,297.57
2017-09-06,313.8
2017-09-07,333.52
2017-09-08,329.64
2017-09-09,296.17
2017-09-10,294.06
2017-09-11,289.75
2017-09-12,294.63
2017-09-13,291.12
2017-09-14,276.59
2017-09-15,215.22
2017-09-16,250.87
2017-09-17,245.85
2017-09-18,252.23
2017-09-19,293.66
2017-09-20,282.01
2017-09-21,283.26
2017-09-22,258.11
2017-09-23,264.6
2017-09-24,286.21
2017-09-25,282.22
2017-09-26,292.35
2017-09-27,287.02
2017-09-28,306.47
2017-09-29,299.12
2017-09-30,291.48
2017-10-01,301.55
2017-10-02,302.48
2017-10-03,297.48
2017-10-04,292.75
2017-10-05,292.77
2017-10-06,295.15
2017-10-07,308.89
2017-10-08,311.06
2017-10-09,308.67
2017-10-10,297.6
2017-10-11,301.18
2017-10-12,303.5
2017-10-13,304.08
2017-10-14,338.85
2017-10-15,339.53
2017-10-16,336.71
2017-10-17,333.48
2017-10-18,316.94
2017-10-19,314.54
2017-10-20,308.05
2017-10-21,303.57
2017-10-22,300.55
2017-10-23,295.1
2017-10-24,287.12
2017-10-25,298.44
2017-10-26,298.02
2017-10-27,296.51
2017-10-28,297.92
2017-10-29,296.38
2017-10-30,304.78
2017-10-31,307.38
2017-11-01,305.76
2017-11-02,290.73
2017-11-03,288.5
2017-11-04,305.48
2017-11-05,300.04
2017-11-06,296.43
2017-11-07,298.57
2017-11-08,294.27
2017-11-09,308.64
2017-11-10,320.67
2017-11-11,298.59
2017-11-12,314.69
2017-11-13,307.02
2017-11-14,316.76
2017-11-15,337.96
2017-11-16,333.44
2017-11-17,330.17
2017-11-18,331.98
2017-11-19,347.4
2017-11-20,354.09
2017-11-21,367.44
2017-11-22,360.31
2017-11-23,381.44
2017-11-24,412.5
2017-11-25,475.68
2017-11-26,465.97
2017-11-27,471.53
2017-11-28,480.52
2017-11-29,473.28
2017-11-30,431.21
2017-12-01,445.21
2017-12-02,466.85
2017-12-03,463.7
2017-12-04,466.05
2017-12-05,470.29
2017-12-06,462.6
2017-12-07,426.37
2017-12-08,434.99
2017-12-09,457.34
2017-12-10,472.79
2017-12-11,440.36
2017-12-12,522.29
2017-12-13,644.91
2017-12-14,700.59
2017-12-15,696.38
2017-12-16,686.19
2017-12-17,696.24
2017-12-18,721.73
2017-12-19,793.9
2017-12-20,827.52
2017-12-21,820.24
2017-12-22,822.64
2017-12-23,681.32
2017-12-24,721.77
2017-12-25,698.87
2017-12-26,763.37
2017-12-27,774.97
2017-12-28,762.21
2017-12-29,740.39
2017-12-30,753.82
2017-12-31,712.21
