date,price(USD)
2017-01-01,0.000223
2017-01-02,0.000228
2017-01-03,0.000224
2017-01-04,0.000227
2017-01-05,0.000233
2017-01-06,0.000228
2017-01-07,0.000222
2017-01-08,0.000224
2017-01-09,0.000221
2017-01-10,0.000229
2017-01-11,0.000225
2017-01-12,0.000203
2017-01-13,0.000208
2017-01-14,0.000209
2017-01-15,0.000207
2017-01-16,0.000206
2017-01-17,0.000207
2017-01-18,0.000215
2017-01-19,0.000206
2017-01-20,0.000209
2017-01-21,0.000206
2017-01-22,0.000208
2017-01-23,0.000205
2017-01-24,0.000208
2017-01-25,0.000203
2017-01-26,0.000204
2017-01-27,0.000208
2017-01-28,0.000209
2017-01-29,0.000209
2017-01-30,0.000204
2017-01-31,0.000208
2017-02-01,0.000211
2017-02-02,0.000212
2017-02-03,0.000211
2017-02-04,0.000213
2017-02-05,0.000211
2017-02-06,0.00021
2017-02-07,0.000212
2017-02-08,0.000212
2017-02-09,0.000208
2017-02-10,0.000204
2017-02-11,0.000208
2017-02-12,0.00021
2017-02-13,0.00021
2017-02-14,0.000208
2017-02-15,0.000208
2017-02-16,0.000209
2017-02-17,0.000207
2017-02-18,0.000209
2017-02-19,0.000197
2017-02-20,0.000208
2017-02-21,0.00021
2017-02-22,0.000208
2017-02-23,0.000202
2017-02-24,0.000208
2017-02-25,0.000204
2017-02-26,0.0002
2017-02-27,0.000206
2017-02-28,0.000204
2017-03-01,0.000206
2017-03-02,0.000205
2017-03-03,0.000205
2017-03-04,0.000211
2017-03-05,0.000204
2017-03-06,0.00021
2017-03-07,0.000206
2017-03-08,0.000209
2017-03-09,0.000207
2017-03-10,0.000211
2017-03-11,0.000205
2017-03-12,0.000212
2017-03-13,0.000227
2017-03-14,0.000241
2017-03-15,0.000238
2017-03-16,0.000241
2017-03-17,0.000235
2017-03-18,0.000223
2017-03-19,0.000219
2017-03-20,0.000235
2017-03-21,0.000227
2017-03-22,0.000245
2017-03-23,0.000239
2017-03-24,0.000242
2017-03-25,0.000264
2017-03-26,0.000298
2017-03-27,0.000278
2017-03-28,0.000247
2017-03-29,0.000279
2017-03-30,0.000278
2017-03-31,0.000304
2017-04-01,0.000333
2017-04-02,0.000336
2017-04-03,0.00049
2017-04-04,0.000432
2017-04-05,0.000438
2017-04-06,0.000437
2017-04-07,0.000456
2017-04-08,0.000398
2017-04-09,0.00043
2017-04-10,0.000381
2017-04-11,0.000396
2017-04-12,0.000388
2017-04-13,0.000415
2017-04-14,0.000431
2017-04-15,0.000425
2017-04-16,0.000417
2017-04-17,0.000453
2017-04-18,0.000466
2017-04-19,0.000456
2017-04-20,0.000448
2017-04-21,0.00044
2017-04-22,0.000456
2017-04-23,0.000468
2017-04-24,0.000526
2017-04-25,0.000511
2017-04-26,0.000534
2017-04-27,0.000549
2017-04-28,0.000625
2017-04-29,0.000679
2017-04-30,0.000736
2017-05-01,0.000746
2017-05-02,0.000689
2017-05-03,0.000611
2017-05-04,0.000686
2017-05-05,0.000738
2017-05-06,0.000837
2017-05-07,0.001176
2017-05-08,0.001335
2017-05-09,0.001531
2017-05-10,0.001253
2017-05-11,0.001236
2017-05-12,0.001215
2017-05-13,0.001188
2017-05-14,0.001198
2017-05-15,0.001275
2017-05-16,0.001123
2017-05-17,0.001068
2017-05-18,0.001318
2017-05-19,0.001512
2017-05-20,0.001511
2017-05-21,0.00191
2017-05-22,0.003095
2017-05-23,0.003367
2017-05-24,0.003543
2017-05-25,0.003702
2017-05-26,0.00295
2017-05-27,0.002428
2017-05-28,0.002583
2017-05-29,0.00253
2017-05-30,0.002734
2017-05-31,0.002639
2017-06-01,0.002665
2017-06-02,0.002878
2017-06-03,0.003022
2017-06-04,0.003279
2017-06-05,0.003191
2017-06-06,0.003859
2017-06-07,0.003764
2017-06-08,0.003279
2017-06-09,0.003576
2017-06-10,0.00343
2017-06-11,0.003307
2017-06-12,0.003603
2017-06-13,0.00325
2017-06-14,0.003305
2017-06-15,0.0031
2017-06-16,0.003043
2017-06-17,0.003135
2017-06-18,0.003335
2017-06-19,0.003219
2017-06-20,0.003154
2017-06-21,0.003219
2017-06-22,0.003126
2017-06-23,0.003101
2017-06-24,0.003139
2017-06-25,0.003129
2017-06-26,0.002958
2017-06-27,0.00275
2017-06-28,0.002636
2017-06-29,0.002787
2017-06-30,0.002654
2017-07-01,0.002601
2017-07-02,0.002638
2017-07-03,0.002467
2017-07-04,0.002527
2017-07-05,0.002504
2017-07-06,0.002711
2017-07-07,0.002629
2017-07-08,0.002386
2017-07-09,0.002442
2017-07-10,0.002338
2017-07-11,0.001956
2017-07-12,0.001759
2017-07-13,0.001958
2017-07-14,0.001826
2017-07-15,0.001675
2017-07-16,0.001484
2017-07-17,0.001303
2017-07-18,0.001523
2017-07-19,0.00187
2017-07-20,0.001694
2017-07-21,0.001954
2017-07-22,0.001936
2017-07-23,0.002097
2017-07-24,0.001973
2017-07-25,0.001997
2017-07-26,0.001772
